 №        t       Uvx     Uvix
   1     10.0      0.0     20.0
   2     10.3      3.0     20.0
   3     10.5      6.1     26.9
   4     10.8      9.1     46.6
   5     11.0     12.1     66.3
   6     11.3     15.2     86.0
   7     11.5     18.2    106.0
   8     11.8     21.2    125.0
   9     12.0     24.2    145.0
  10     12.3     27.3    150.0
  11     12.5     30.3    150.0
  12     12.8     33.3    150.0
  13     13.0     36.4    150.0
  14     13.3     39.4    150.0
  15     13.5     42.4    150.0
  16     13.8     45.5    150.0
  17     14.0     48.5    150.0
  18     14.3     51.5    150.0
  19     14.5     54.5    150.0
  20     14.8     57.6    150.0
  21     15.1     60.6    150.0
  22     15.3     63.6    150.0
  23     15.6     66.7    150.0
  24     15.8     69.7    150.0
  25     16.1     72.7    150.0
  26     16.3     75.8    150.0
  27     16.6     78.8    150.0
  28     16.8     81.8    150.0
  29     17.1     84.8    150.0
  30     17.3     87.9    150.0
  31     17.6     90.9    150.0
  32     17.8     93.9    150.0
  33     18.1     97.0    150.0
  34     18.3    100.0    150.0
  35     18.6    103.0    150.0
  36     18.8    106.0    150.0
  37     19.1    109.0    150.0
  38     19.3    112.0    150.0
  39     19.6    115.0    150.0
  40     19.8    118.0    150.0
  41     20.1    121.0    150.0
  42     20.4    124.0    150.0
  43     20.6    127.0    150.0
  44     20.9    130.0    150.0
  45     21.1    133.0    150.0
  46     21.4    136.0    150.0
  47     21.6    139.0    150.0
  48     21.9    142.0    150.0
  49     22.1    145.0    150.0
  50     22.4    148.0    150.0
  51     22.6    148.0    150.0
  52     22.9    145.0    150.0
  53     23.1    142.0    150.0
  54     23.4    139.0    150.0
  55     23.6    136.0    150.0
  56     23.9    133.0    150.0
  57     24.1    130.0    150.0
  58     24.4    127.0    150.0
  59     24.6    124.0    150.0
  60     24.9    121.0    150.0
  61     25.2    118.0    150.0
  62     25.4    115.0    150.0
  63     25.7    112.0    150.0
  64     25.9    109.0    150.0
  65     26.2    106.0    150.0
  66     26.4    103.0    150.0
  67     26.7    100.0    150.0
  68     26.9     97.0    150.0
  69     27.2     93.9    150.0
  70     27.4     90.9    150.0
  71     27.7     87.9    150.0
  72     27.9     84.8    150.0
  73     28.2     81.8    150.0
  74     28.4     78.8    150.0
  75     28.7     75.8    150.0
  76     28.9     72.7    150.0
  77     29.2     69.7    150.0
  78     29.4     66.7    150.0
  79     29.7     63.6    150.0
  80     29.9     60.6    150.0
  81     30.2     57.6    150.0
  82     30.5     54.5    150.0
  83     30.7     51.5    150.0
  84     31.0     48.5    150.0
  85     31.2     45.5    150.0
  86     31.5     42.4    150.0
  87     31.7     39.4    150.0
  88     32.0     36.4    150.0
  89     32.2     33.3    150.0
  90     32.5     30.3    150.0
  91     32.7     27.3    150.0
  92     33.0     24.2    145.0
  93     33.2     21.2    125.0
  94     33.5     18.2    106.0
  95     33.7     15.2     86.0
  96     34.0     12.1     66.3
  97     34.2      9.1     46.6
  98     34.5      6.1     26.9
  99     34.7      3.0     20.0
 100     35.0      0.0     20.0
